FILE_NAME,DATE_ANNOTATED,MKGROUP,TOTAL_NUM_MK,IDABLE_NUM_MK,MKIDS,TOYS,UNKNOWN_GUESS,COMMENTS
20220331_SD02_3343.JPG,2022-06-27,Instigators,2,2,"[35Y, 114J]","Grenade, Grenade",,
20220331_SD02_3344.JPG,2022-06-27,Instigators,2,2,"[35Y, 114J]","Grenade, Grenade",,
20220331_SD02_3345.JPG,2022-06-27,Instigators,2,2,"[35Y, 114J]","Grenade, Grenade",,
20220331_SD02_3346.JPG,2022-06-27,Instigators,2,1,"[167I, Unknown1]",,NN,
20220331_SD02_3347.JPG,2022-06-27,Instigators,2,1,"[167I, Unknown1]",,NN,
20220331_SD02_3348.JPG,2022-06-27,Instigators,1,1,[70G],,,
20220331_SD02_3349.JPG,2022-06-27,Instigators,1,1,[70G],,,
20220331_SD02_3350.JPG,2022-06-27,Instigators,1,1,"[70G, Unknown1]",,Adult Female,
20220331_SD02_3351.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3352.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3353.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3354.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3356.JPG,2022-06-27,Instigators,1,1,[167I],Kong,,
20220331_SD02_3357.JPG,2022-06-27,Instigators,1,1,[167I],Kong,,
20220331_SD02_3358.JPG,2022-06-27,Instigators,1,1,[167I],Kong,,
20220331_SD02_3359.JPG,2022-06-27,Instigators,1,1,[167I],Kong,,
20220331_SD02_3360.JPG,2022-06-27,Instigators,1,1,[167I],Kong,,
20220331_SD02_3365.JPG,2022-06-27,Instigators,1,1,[167I],,,
20220331_SD02_3369.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3370.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3371.JPG,2022-06-27,Instigators,1,1,[144H],,,
20220331_SD02_3376.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3377.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3379.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3383.JPG,2022-06-27,Instigators,1,1,[Unknown1],,Juvenile,
20220331_SD02_3387.JPG,2022-06-27,Instigators,1,1,[42Z],,,
20220331_SD02_3389.JPG,2022-06-27,Instigators,1,1,[Unknown1],,J,
20220331_SD02_3394.JPG,2022-06-27,Instigators,1,1,[42Z],,,
20220331_SD02_3395.JPG,2022-06-27,Instigators,1,1,[42Z],,,
20220331_SD02_3398.JPG,2022-06-27,Instigators,1,1,"[70G, 68E, 42K]",,,
20220331_SD02_3399.JPG,2022-06-27,Instigators,1,1,"[70G, 68E, 42K]",,,
20220331_SD02_3438.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3439.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3440.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3441.JPG,2022-06-27,Instigators,1,1,[79G],,,
20220331_SD02_3443.JPG,2022-06-27,Instigators,2,2,"[68E, 42K]",,,
20220331_SD02_3444.JPG,2022-06-27,Instigators,2,2,"[68E, 42K]",,,
20220331_SD02_3446.JPG,2022-06-27,Instigators,2,2,"[68E, 42K]",,,
20220331_SD02_3447.JPG,2022-06-27,Instigators,2,2,"[68E, 42K]",,,
20220331_SD02_3448.JPG,2022-06-27,Instigators,2,2,"[68E, 42K]",,,
20220331_SD02_3449.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3450.JPG,2022-06-22,Instigators,1,1,[144H],,,
20220331_SD02_3453.JPG,2022-06-27,Instigators,3,3,"[35Y, 68E, 42K]",,,
20220331_SD02_3454.JPG,2022-06-27,Instigators,3,3,"[35Y, 68E, 42K]",,,
20220331_SD02_3455.JPG,2022-06-27,Instigators,1,1,[G942],Kong,,
20220331_SD02_3457.JPG,2022-06-27,Instigators,1,1,[G942],Kong,,
20220331_SD02_3458.JPG,2022-06-27,Instigators,1,1,[G942],Kong,,
20220331_SD02_3459.JPG,2022-06-27,Instigators,1,1,[G942],Kong,,
20220331_SD02_3461.JPG,2022-06-22,Instigators,3,3,"[68E, 42K, 79G]",,,
20220331_SD02_3462.JPG,2022-06-22,Instigators,3,3,"[68E, 42K, 79G]",,,
20220331_SD02_3463.JPG,2022-06-22,Instigators,3,3,"[68E, 42K, 79G]",,,
20220331_SD02_3464.JPG,2022-06-22,Instigators,3,3,"[68E, 42K, 79G]",,,
