monkey_id,unknown_guess
5686,Adult Female
5688,Adult Female
5726,K
5800,DNK
5803,DNK
5845,NN
5847,NN
5858,81G
5862,81G
5866,81G
5870,81G
5874,81G
5878,81G
5882,81G
5886,81G
6117,NN
6199,J
6200,J
6234,NN
6236,NN
6238,NN
6302,Juvenile
6305,Juvenile
6311,Juvenile
6340,Juvenile
6351,36J
6352,26J
6354,36J
6355,26J
6357,36J
6358,26J
6360,36J
6361,26J
6363,36J
6364,26J
6374,Juvenile
6375,NN
6378,Juvenile
6379,NN
6399,NN
6404,NN
6408,NN
6441,NN
6476,NN
6482,NN
6530,Adult Female
6604,NN
6609,NN
6613,NN
6621,NN
6626,NN
7172,Y
7174,Y
7197,Y
7198,Adult Female
7200,Y
7201,Adult Female
7203,Y
7204,Adult Female
7206,Y
7207,Adult Female
7224,Adult
7226,Adult
7227,Adult
7230,NN
7233,NN
7235,NN
7250,NN
7252,NN
7254,NN
7256,NN
7259,NN
7422,NN
7479,Juvenile
7481,Juvenile
7484,Juvenile
7486,Juvenile
7521,DNK
7601,NN
7603,NN
7605,NN
7607,NN
7609,G
7668,K
7670,NN
7673,Adult Female
7675,Adult Female
7736,DNK
7749,NN
7752,NN
7838,Adult Female
8185,K
8186,K
8287,Adult Female
8289,Adult Female
8292,Adult Female
8375,NN
8377,NN
8379,NN
8381,NN
8383,NN
8385,NN
8387,NN
8389,NN
8395,NN
8557,143H
8619,NN
8621,NN
8623,NN
8752,K
8755,K
8758,K
8763,K
8766,K
8769,K
8772,K
8775,K
8778,K
8781,K
8784,K
8787,K
8790,K
8793,K
8796,K
8799,K
8802,K
8805,K
8808,K
8812,K
8815,K
9251,Adult Female
9253,Adult Female
9280,09X
9281,NN
9283,09X
9284,NN
9286,09X
9288,09X
9290,09X
9303,NN
9306,NN
9309,NN
9448,NN
9484,NN
9488,NN
9593,NN
9595,NN
9597,NN
9769,NN
9771,NN
9773,NN
9794,NN
9796,NN
9830,NN
9832,NN
9923,Adult Female
9989,Adult Female
10036,NN
10077,NN
10079,NN
10081,NN
10083,NN
10111,Adult Female
10113,Adult Female
10126,J
10128,NN
10130,NN
10134,NN
10151,NN
10169,NN
10170,NN
10177,Adult Female
10179,Adult Female
10181,Adult Female
10183,Adult Female
10185,Adult Female
10186,Adult Female
10188,Adult Female
10189,Adult Female
10191,Adult Female
10192,Adult Female
10209,NN
10244,NN
10264,NN
10304,NN
10306,NN
10308,NN
10310,Adult Female
10312,Adult Female
10314,Adult Female
10343,NN
10345,NN
10390,NN
10447,Adult Female
10449,Adult Female
10451,Adult Female
10589,Adult Female
10591,Adult Female
10593,NN
10594,NN
10596,NN
10597,NN
10599,NN
10601,NN
10742,K
10743,NN
10760,JK
10813,Adult Female
10819,NN
10842,Juvenile
10843,Juvenile
10844,Juvenile
10845,Juvenile
10846,Juvenile
10847,Juvenile
10891,Juvenile
10892,Juvenile
10919,K
10921,K
10923,K
10925,K
10927,K
10930,K
10933,K
10936,K
10938,K
