monkey_id,unknown_guess
6462,26J
6464,36J
6465,26J
6467,36J
6468,26J
6478,Juvenile
6479,NN
6482,Juvenile
6483,NN
6503,NN
6508,NN
6512,NN
6545,NN
6580,NN
6586,NN
6634,Adult Female
6708,NN
6713,NN
6717,NN
6726,NN
6732,NN
6734,
6736,
6738,
6740,
6742,
6744,
6746,
6747,
7181,
7184,
7187,
7190,
7193,
7196,
7199,
7204,
7207,
7209,
7296,Y
7298,Y
7306,
7308,
7312,
7315,
7325,Y
7326,Adult Female
7328,Y
7329,Adult Female
7331,Y
7332,Adult Female
7334,Y
7335,Adult Female
7351,
7353,Adult
7355,Adult
7356,Adult
7359,NN
7362,NN
7364,NN
7379,NN
7381,NN
7383,NN
7385,NN
7388,NN
7551,NN
7608,Juvenile
7610,Juvenile
7613,Juvenile
7615,Juvenile
7650,DNK
7730,NN
7732,NN
7734,NN
7736,NN
7738,G
7797,K
7799,NN
7802,Adult Female
7804,Adult Female
7865,DNK
7878,NN
7881,NN
7967,Adult Female
8000,
8003,
8005,
8007,
8009,
8011,
8013,
8045,
8048,
8051,
8170,
8172,
8226,
8328,K
8329,K
8363,
8431,Adult Female
8433,Adult Female
8436,Adult Female
8519,NN
8521,NN
8523,NN
8525,NN
8527,NN
8529,NN
8531,NN
8533,NN
8539,NN
8586,
8591,
8596,
8601,
8705,143H
8764,
8768,NN
8770,NN
8772,NN
8901,K
8904,K
8907,K
8912,K
8915,K
8918,K
8921,K
8924,K
8927,K
8930,K
8933,K
8936,K
8939,K
8942,K
8945,K
8948,K
8951,K
8954,K
8957,K
8961,K
8964,K
9089,
9090,
9192,
9195,
9198,
9214,
9216,
9219,
9249,
9252,
9278,
9281,
9284,
9298,
9300,
9360,
9363,
9370,
9372,
9374,
9376,
9387,
9410,
9413,
9416,
9431,
9433,
9435,
9437,
9439,Adult Female
9441,Adult Female
9468,09X
9469,NN
9471,09X
9472,NN
9474,09X
9476,09X
9478,09X
9491,NN
9494,NN
9497,NN
9636,NN
9672,NN
9676,NN
9781,NN
9783,NN
9785,NN
9957,NN
9959,NN
9961,NN
9982,NN
9984,NN
10021,NN
10023,NN
10114,Adult Female
10180,Adult Female
10227,NN
10269,NN
10271,NN
10273,NN
10275,NN
10303,Adult Female
10305,Adult Female
10318,J
10320,NN
10322,NN
10326,NN
10343,NN
10361,NN
10362,NN
10369,Adult Female
10371,Adult Female
10373,Adult Female
10375,Adult Female
10377,Adult Female
10378,Adult Female
10380,Adult Female
10381,Adult Female
10383,Adult Female
10384,Adult Female
10403,NN
10438,NN
10458,NN
10487,
10490,
10500,NN
10502,NN
10504,NN
10506,Adult Female
10509,Adult Female
10512,Adult Female
10541,NN
10543,NN
10588,NN
10645,Adult Female
10647,Adult Female
10649,Adult Female
10659,
10743,
10745,
10747,
10780,
10782,
10784,
10786,
10795,Adult Female
10797,Adult Female
10799,NN
10800,NN
10802,NN
10803,NN
10805,NN
10807,NN
10872,
10875,
10952,K
10953,NN
10970,JK
10973,
11027,Adult Female
11033,NN
11056,Juvenile
11057,Juvenile
11058,Juvenile
11059,Juvenile
11060,Juvenile
11061,Juvenile
11105,Juvenile
11106,Juvenile
11133,K
11135,K
11137,K
11139,K
11141,K
11144,K
11147,K
11150,K
11152,K
